harness,method,N,R_comm,seed_idx,job_seed,seed,partition_seed
coverage,mozaffari2016,200,6000,6,63590,44085,5315
coverage,mozaffari2016,200,6000,7,71509,82694,5316
coverage,mozaffari2016,200,6000,8,79428,90647,5317
coverage,mozaffari2016,200,6000,9,87347,65888,5318
coverage,alzenad2017,200,6000,0,16076,25300,5309
coverage,alzenad2017,200,6000,1,23995,419,5310
coverage,alzenad2017,200,6000,2,31914,8370,5311
coverage,alzenad2017,200,6000,3,39833,51073,5312
coverage,alzenad2017,200,6000,4,47752,59024,5313
coverage,alzenad2017,200,6000,5,55671,34159,5314
coverage,alzenad2017,200,6000,6,63590,42110,5315
coverage,alzenad2017,200,6000,7,71509,84813,5316
coverage,alzenad2017,200,6000,8,79428,92764,5317
coverage,alzenad2017,200,6000,9,87347,67883,5318
coverage,hfl_static,200,6000,0,16076,39933,5309
coverage,hfl_static,200,6000,1,23995,63626,5310
coverage,hfl_static,200,6000,2,31914,55707,5311
coverage,hfl_static,200,6000,3,39833,16040,5312
coverage,hfl_static,200,6000,4,47752,8121,5313
coverage,hfl_static,200,6000,5,55671,31814,5314
coverage,hfl_static,200,6000,6,63590,23895,5315
coverage,hfl_static,200,6000,7,71509,111204,5316
coverage,hfl_static,200,6000,8,79428,103285,5317
coverage,hfl_static,200,6000,9,87347,126978,5318
coverage,flat_fl,200,6000,0,16076,49756,5309
coverage,flat_fl,200,6000,1,23995,41259,5310
coverage,flat_fl,200,6000,2,31914,32826,5311
coverage,flat_fl,200,6000,3,39833,26377,5312
coverage,flat_fl,200,6000,4,47752,17944,5313
coverage,flat_fl,200,6000,5,55671,9703,5314
coverage,flat_fl,200,6000,6,63590,1270,5315
coverage,flat_fl,200,6000,7,71509,125893,5316
coverage,flat_fl,200,6000,8,79428,117460,5317
coverage,flat_fl,200,6000,9,87347,108963,5318
coverage,proposed_hfl,200,8000,0,16076,21359,5309
coverage,proposed_hfl,200,8000,1,23995,12312,5310
coverage,proposed_hfl,200,8000,2,31914,4361,5311
coverage,proposed_hfl,200,8000,3,39833,63034,5312
coverage,proposed_hfl,200,8000,4,47752,55083,5313
coverage,proposed_hfl,200,8000,5,55671,46292,5314
coverage,proposed_hfl,200,8000,6,63590,38341,5315
coverage,proposed_hfl,200,8000,7,71509,97014,5316
coverage,proposed_hfl,200,8000,8,79428,89063,5317
coverage,proposed_hfl,200,8000,9,87347,80016,5318
coverage,mozaffari2016,200,8000,0,16076,27295,5309
coverage,mozaffari2016,200,8000,1,23995,2536,5310
coverage,mozaffari2016,200,8000,2,31914,10489,5311
coverage,mozaffari2016,200,8000,3,39833,53194,5312
coverage,mozaffari2016,200,8000,4,47752,61147,5313
coverage,mozaffari2016,200,8000,5,55671,36132,5314
coverage,mozaffari2016,200,8000,6,63590,44085,5315
coverage,mozaffari2016,200,8000,7,71509,82694,5316
coverage,mozaffari2016,200,8000,8,79428,90647,5317
coverage,mozaffari2016,200,8000,9,87347,65888,5318
coverage,alzenad2017,200,8000,0,16076,25300,5309
coverage,alzenad2017,200,8000,1,23995,419,5310
coverage,alzenad2017,200,8000,2,31914,8370,5311
coverage,alzenad2017,200,8000,3,39833,51073,5312
coverage,alzenad2017,200,8000,4,47752,59024,5313
coverage,alzenad2017,200,8000,5,55671,34159,5314
coverage,alzenad2017,200,8000,6,63590,42110,5315
coverage,alzenad2017,200,8000,7,71509,84813,5316
coverage,alzenad2017,200,8000,8,79428,92764,5317
coverage,alzenad2017,200,8000,9,87347,67883,5318
coverage,hfl_static,200,8000,0,16076,39933,5309
coverage,hfl_static,200,8000,1,23995,63626,5310
coverage,hfl_static,200,8000,2,31914,55707,5311
coverage,hfl_static,200,8000,3,39833,16040,5312
coverage,hfl_static,200,8000,4,47752,8121,5313
coverage,hfl_static,200,8000,5,55671,31814,5314
coverage,hfl_static,200,8000,6,63590,23895,5315
coverage,hfl_static,200,8000,7,71509,111204,5316
coverage,hfl_static,200,8000,8,79428,103285,5317
coverage,hfl_static,200,8000,9,87347,126978,5318
coverage,flat_fl,200,8000,0,16076,49756,5309
coverage,flat_fl,200,8000,1,23995,41259,5310
coverage,flat_fl,200,8000,2,31914,32826,5311
coverage,flat_fl,200,8000,3,39833,26377,5312
coverage,flat_fl,200,8000,4,47752,17944,5313
coverage,flat_fl,200,8000,5,55671,9703,5314
coverage,flat_fl,200,8000,6,63590,1270,5315
coverage,flat_fl,200,8000,7,71509,125893,5316
coverage,flat_fl,200,8000,8,79428,117460,5317
coverage,flat_fl,200,8000,9,87347,108963,5318
coverage,proposed_hfl,200,12000,0,16076,21359,5309
coverage,proposed_hfl,200,12000,1,23995,12312,5310
coverage,proposed_hfl,200,12000,2,31914,4361,5311
coverage,proposed_hfl,200,12000,3,39833,63034,5312
coverage,proposed_hfl,200,12000,4,47752,55083,5313
coverage,proposed_hfl,200,12000,5,55671,46292,5314
coverage,proposed_hfl,200,12000,6,63590,38341,5315
coverage,proposed_hfl,200,12000,7,71509,97014,5316
coverage,proposed_hfl,200,12000,8,79428,89063,5317
coverage,proposed_hfl,200,12000,9,87347,80016,5318
coverage,mozaffari2016,200,12000,0,16076,27295,5309
coverage,mozaffari2016,200,12000,1,23995,2536,5310
coverage,mozaffari2016,200,12000,2,31914,10489,5311
coverage,mozaffari2016,200,12000,3,39833,53194,5312
coverage,mozaffari2016,200,12000,4,47752,61147,5313
coverage,mozaffari2016,200,12000,5,55671,36132,5314
coverage,mozaffari2016,200,12000,6,63590,44085,5315
coverage,mozaffari2016,200,12000,7,71509,82694,5316
coverage,mozaffari2016,200,12000,8,79428,90647,5317
coverage,mozaffari2016,200,12000,9,87347,65888,5318
coverage,alzenad2017,200,12000,0,16076,25300,5309
coverage,alzenad2017,200,12000,1,23995,419,5310
coverage,alzenad2017,200,12000,2,31914,8370,5311
coverage,alzenad2017,200,12000,3,39833,51073,5312
coverage,alzenad2017,200,12000,4,47752,59024,5313
coverage,alzenad2017,200,12000,5,55671,34159,5314
coverage,alzenad2017,200,12000,6,63590,42110,5315
coverage,alzenad2017,200,12000,7,71509,84813,5316
coverage,alzenad2017,200,12000,8,79428,92764,5317
coverage,alzenad2017,200,12000,9,87347,67883,5318
coverage,hfl_static,200,12000,0,16076,39933,5309
coverage,hfl_static,200,12000,1,23995,63626,5310
coverage,hfl_static,200,12000,2,31914,55707,5311
coverage,hfl_static,200,12000,3,39833,16040,5312
coverage,hfl_static,200,12000,4,47752,8121,5313
coverage,hfl_static,200,12000,5,55671,31814,5314
coverage,hfl_static,200,12000,6,63590,23895,5315
coverage,hfl_static,200,12000,7,71509,111204,5316
coverage,hfl_static,200,12000,8,79428,103285,5317
coverage,hfl_static,200,12000,9,87347,126978,5318
coverage,flat_fl,200,12000,0,16076,49756,5309
coverage,flat_fl,200,12000,1,23995,41259,5310
coverage,flat_fl,200,12000,2,31914,32826,5311
coverage,flat_fl,200,12000,3,39833,26377,5312
coverage,flat_fl,200,12000,4,47752,17944,5313
coverage,flat_fl,200,12000,5,55671,9703,5314
coverage,flat_fl,200,12000,6,63590,1270,5315
coverage,flat_fl,200,12000,7,71509,125893,5316
coverage,flat_fl,200,12000,8,79428,117460,5317
coverage,flat_fl,200,12000,9,87347,108963,5318
coverage,proposed_hfl,200,20000,0,16076,21359,5309
coverage,proposed_hfl,200,20000,1,23995,12312,5310
coverage,proposed_hfl,200,20000,2,31914,4361,5311
coverage,proposed_hfl,200,20000,3,39833,63034,5312
coverage,proposed_hfl,200,20000,4,47752,55083,5313
coverage,proposed_hfl,200,20000,5,55671,46292,5314
coverage,proposed_hfl,200,20000,6,63590,38341,5315
coverage,proposed_hfl,200,20000,7,71509,97014,5316
coverage,proposed_hfl,200,20000,8,79428,89063,5317
coverage,proposed_hfl,200,20000,9,87347,80016,5318
coverage,mozaffari2016,200,20000,0,16076,27295,5309
coverage,mozaffari2016,200,20000,1,23995,2536,5310
coverage,mozaffari2016,200,20000,2,31914,10489,5311
coverage,mozaffari2016,200,20000,3,39833,53194,5312
coverage,mozaffari2016,200,20000,4,47752,61147,5313
coverage,mozaffari2016,200,20000,5,55671,36132,5314
coverage,mozaffari2016,200,20000,6,63590,44085,5315
coverage,mozaffari2016,200,20000,7,71509,82694,5316
coverage,mozaffari2016,200,20000,8,79428,90647,5317
coverage,mozaffari2016,200,20000,9,87347,65888,5318
coverage,alzenad2017,200,20000,0,16076,25300,5309
coverage,alzenad2017,200,20000,1,23995,419,5310
coverage,alzenad2017,200,20000,2,31914,8370,5311
coverage,alzenad2017,200,20000,3,39833,51073,5312
coverage,alzenad2017,200,20000,4,47752,59024,5313
coverage,alzenad2017,200,20000,5,55671,34159,5314
coverage,alzenad2017,200,20000,6,63590,42110,5315
coverage,alzenad2017,200,20000,7,71509,84813,5316
coverage,alzenad2017,200,20000,8,79428,92764,5317
coverage,alzenad2017,200,20000,9,87347,67883,5318
coverage,hfl_static,200,20000,0,16076,39933,5309
coverage,hfl_static,200,20000,1,23995,63626,5310
coverage,hfl_static,200,20000,2,31914,55707,5311
coverage,hfl_static,200,20000,3,39833,16040,5312
coverage,hfl_static,200,20000,4,47752,8121,5313
coverage,hfl_static,200,20000,5,55671,31814,5314
coverage,hfl_static,200,20000,6,63590,23895,5315
coverage,hfl_static,200,20000,7,71509,111204,5316
coverage,hfl_static,200,20000,8,79428,103285,5317
coverage,hfl_static,200,20000,9,87347,126978,5318
coverage,flat_fl,200,20000,0,16076,49756,5309
coverage,flat_fl,200,20000,1,23995,41259,5310
coverage,flat_fl,200,20000,2,31914,32826,5311
coverage,flat_fl,200,20000,3,39833,26377,5312
coverage,flat_fl,200,20000,4,47752,17944,5313
coverage,flat_fl,200,20000,5,55671,9703,5314
coverage,flat_fl,200,20000,6,63590,1270,5315
coverage,flat_fl,200,20000,7,71509,125893,5316
coverage,flat_fl,200,20000,8,79428,117460,5317
coverage,flat_fl,200,20000,9,87347,108963,5318
